Skill Name,Description,Path,Tier,Augment,Special,Limitations,Phys Rep,Prerequisite,Uses Base Per Day,Uses Per Extra Tier,Uses Scale Start Tier,Periodicity,Per Milestone 1,Per Milestone 2
Schematic Encryption,"[Runes] You may disguise the meaning of your Artificer Schematics, so other fellow Artificers cannot read it to learn its secrets.  Upon creation of a Schematic, you may opt to encrypt it.  The Professional expertise required to bypass your encryption for this Schematic is your Artificer Professional Expertise Tier when the Schematic was created.",Artificer,1,,"Characters with Appraise [Runes] may, once per event, use a Fusion Point to increase the tier to bypass encryption (see below) by 1.  This increase may be countered by knowledge of how the runes work (the creator innately ignores it) or extracting the information from the creator.",,"A Schematic (see The Object’s Schematics below) that hides the description, tier, and other information behind a card or other device that is labeled with the Artificer Tier necessary to decrypt.",,1,,,Per Event,,
Cooperative Action [Artificer],"The best Artificers learn that they can get further by working together. When faced with a Schematic that is beyond their capabilities (Tier), they can utilize Cooperative Action to encrypt or decrypt Schematics and gain an advantage. The Artificer that takes the action receives +1 to their effective Professional experience Tier for each Artificer with Cooperative Action working together. In order for the Cooperative Action to be successful, the total tier must be greater than the encryption to succeed. It takes double the amount of time to complete a Cooperative Action as it would to complete the action normally.",Artificer,1,,,Keep in mind that if you encrypt a Schematic at a Tier higher than you are capable of that you will be unable to utilize it as a reference material without the help of others!,All Artificers must be within touch distance of the Schematic and actively engaged in the roleplay.,Schematic Encryption, ,,,,,
Artorias’ Silver Weapon,"[Weaponry, Alchemy] Through careful art, science, and ritual, you are able to silver-plate to your weapon’s blade like Sir Artorias the Moonslayer.  Until the end of the day, your blade is silvered, allowing your attacks with this weapon to be harrowing against lycanthropes, wraiths, vampires, and other cursed entities.",Artificer,1,"Expending a Small gem and a Fusion Point, ground in during the alchemical process, instead renders the weapon silvered for an entire event.  Expending a Large gem and a Fusion Point during its creation renders the silver plating permanent on the weapon.",,,"A bladed weapon.  A number of silver pieces that, laid flat against the blade portion to cover, multiplied by three, is consumed in the act of silvering it (returned to Organizers).  The bigger the blade, the more surface area to cover in coin.  The silver coin, once applied, is consumed.  Once complete, applying a black ribbon with three silver stripes to the weapon indicates that it is silvered.",Appraise [Alchemy], ,,,,,
Bypass Encryption 1,"[Runes]. You are able to bypass other Artificers’ Schematic Encryption.  Spend 15 minutes per Tier of the encryption to break the code, being able to use this as a reference material for use to create your own Schematic.",Artificer,2,,"Characters with Appraise [Runes] may, once per event, use a Fusion Point to increase their ability to bypass encryption by 1.","You must be In-Play for the time to count.  If used as a reference material for replicating a Schematic for yourself, you mark up the formerly encrypted Schematic so much that it ceases to be useful and is effectively consumed.  Reference materials of decrypted Schematics cannot be enhanced by your own Schematic encryption at this stage.  It was difficult enough to decrypt.  You may only bypass an encryption once per event.",,,1,,,Per Event,,
Artificer’s Wayfinder,"[Wondrous Items, Clothing]. You create a curious compass or pathfinding accessory that makes it easy to traverse the Wilderness for this event.  One adventuring party of your choice who wields the wayfinder can treat Forest and Blasted Lands hexes as 1 Movement Point, rather than 2.",Artificer,2,You may consume a Small gem and a Fusion Point to increase your adventuring party’s maximum movement points by 2.," If you have Appraise [Wondrous Items] or Appraise [Clothing] and augment the wayfinder, reduce all Movement point costs by 1, including Mountains (minimum: 1 movement point per hex).","This item counts toward the limit of equipped Artificer Objects a character may attune to at once. Multiple compasses in an adventuring party do not stack.  This Wayfinder requires an Artificer Object, but no schematic (unless you want to).","A compass, pocket-watch, or ornate clothing accessory.  An Object Schematic to match.",Tinkerer’s Quirk, ,,,,,
Alchemical Concoction 1,"[Alchemy, Armor, Clothing]. You tinker with your headgear, experimenting with protective oils, salves, and bulwarks that bolster your safety– at least at first blush.  Once per event, you may spend two minutes applying a concoction to headgear.  This headgear confers a one-time additional floating hit. This bonus disappears once struck; it cannot be regenerated until next event.",Artificer,2,,"You may take this skill up to twice, once for each kind of headgear (Armor or Clothing).",This weapon counts toward the limit of equipped Artificer Objects a character may attune to at once.,"Relevant headgear, such as a helm or hat.",Appraise [Alchemy],1,,,Per Event,,
Weapon Warp,"[Weaponry].  You may alter a weapon’s properties with trace energy so that it feels easy to wield.  For one encounter, a wielder of this weapon can ignore their base class weapon restrictions.",Artificer,2,You may use a Small gem and a Fusion Point to extend this duration to four hours.,,"This weapon counts toward the limit of equipped Artificer Objects a character may attune to at once.  This does not make your current one-handed weapon deal damage as though it is two-handed.  You simply can utilize a two-handed one, for example, and it doesn’t penalize you (i.e., you physically use a greatsword, not pretend like a short-sword is a greatsword).  Skills with specific limitations (e.g., Rogue’s Backstab) still require specific weapons to be utilized.",A weapon.  No schematic is necessary (unless you want to add to your list of schematics).,, ,,,,,
Alchemist’s Fire,"[Alchemy, Weaponry]. Through curious alchemical tinkering, you’ve bottled congealed fire.  Expend one Fusion Point.  You gain one vial of alchemist fire.  You can hurl it or use it to make your weapon wreath itself in flame.   Hurling alchemist fire deals 1 Fire Damage upon impact, which bypasses shields (but not armor).",Artificer,2,,"Having Appraise [Weapon] enables an additional option: if applied to a weapon, your melee weapon or consumable artillery now deals Fire damage for one encounter, causing grievous wounds to creatures like Trolls and Scarecrows.  It also sheds light as though it is a torch.",Only a character with the Alchemist’s Fire Skill may safely use Alchemist’s Fire (projectile or weapon) without instantly going up in flames themselves.,"Thrown alchemist fire should mirror a LARP-safe fireball or nerf-football.  Applying alchemist fire to a weapon should be represented by a red ribbon. Attacking should be telegraphed by stating “Alchemist Fire!” then stating the damage (“1”), “Fire damage,” and “through Shields” if thrown.",Alchemical Concoction 1, ,,,,,
Elemental Quiver 1,"[Runes, Wondrous Items].  Experimenting with binding runes, you stitch a favored elemental energy into a worn quiver, sack, or bolt bag. Select a single element when you take this Skill: fire, ice, or lightning.  Once per event, for one encounter, you may change the damage type of all projectiles within the container to that element.  Your damage is the same, but with this damage type overwriting any other damage type (e.g., poison, magic, holy) by stating, “Power of the [Object]: [Element].”",Artificer,2,"Expend a Medium Gem, a Fusion Point, and consult the Schematic that matches your chosen element (Fireball, Lightning Bolt, or Ice Storm) to empower your Quiver.  Your projectiles gain additional effects matching your Quiver’s element.
Elemental Quiver (Fire) projectiles bypass armor and shields but always deal 1 hit worth of fire damage.
Elemental Quiver (Lightning) arrows destroy shields and metal armor (“ARMOR BROKEN”), but no damage passes through.  Unarmored or non-metal armor is normal damage but lightning typed.
Elemental Quiver (Ice) destroys shields (“SHIELD BROKEN”).  All projectiles deal 0 damage. If the projectile hits a non-shield, the target is under the effects of the Healer’s Hold Person spell for 15 seconds, frozen on the spot, but gaining the Mage spell Protection from Fire (“FREEZE FOR 15, PROTECTION FROM FIRE”).  The freeze can end early under two conditions: first, If Protection from Fire’s benefit is triggered by another effect (e.g., the frozen target is hit by Alchemist Fire), it negates the fire damage, and the target is freed.  Likewise, if the target takes non-fire damage, the ice shatters (“FREED!”).","This typing is for the projectile.  Damage may increase when fired from Relics or weapons empowered for damage (e.g., Relics, Blessed weapons).","You may take this Skill only once, choosing a single element for your Quiver and Schematic.  You may not change to another element later, even if you find other Schematics.  This item counts toward the limit of equipped Artificer Objects a character may attune to at once. Projectiles may only be used by the wearer of the quiver, and they lose their element after striking a target or hitting the ground, until re-seated in the Quiver. Spells like Protection from Fire and Protection from Ice and Cold may negate projectile effects. The Rogue’s Quick Feet Skill negates all effects when active.  Lastly, if a character cannot hear your effect from across the field, it does not manifest.","The Warrior or Rogue Archery skill, as well as a check-in with an experienced archer trainer. An Elemental Quiver Schematic specific to your chosen element. A worn projectile container with runes.  Each arrow or bolt transmuted must have a colored arrowhead or jewelry bag on the end of the arrow (red for fire, blue for ice, yellow for lightning). For other thrown objects (larp safe rocks, mugs, bread, etc) a colored ribbon. ",,1,,,Per Event,,
Dedicated Artisan,"Focusing on their Profession, the Artificer begins to derive concentrated benefit from their creations.  While all other characters may attune to only one Artificer Object, the Artisan Artificer may don one additional Artificer Object, now benefiting from up to two effects.",Artificer,3,,,,,, ,,,,,
Keen Eye,"[Gems].  You have a practiced eye for leveraging Gems and unlocking outsized potential.  Once per event, you may increase a Gem’s value by one level (see The Object’s Power Source below) when consuming it in the following ways: to power an Artificer skill, serve as a Power Source of an Object, or trade it to Organizers for Faction Gold Dragons.",Artificer,3,,,"The appraised Gem may not exceed your Artificer Tier in value.  For example, as a Tier 3 Artificer, you may increase one Gem from Medium (Tier 2) to Large (Tier 3), but not from Large (Tier 3) to Exquisite (Tier 4).",,Appraise [Gems],1,,,Per Event,,
Craft Homunculus,"[Constructs, Wondrous Items]. You forge a helper-automaton to aid you in your Artificer tasks through a ritual with an audience.  At the end of the ritual, expend a Fusion Point.  When a homunculus is on your person and engaged in a scene, you may reduce your character’s time to attune to an Artificer Object by 1 minute (minimum 1 minute).  Once ‘built,’ the homunculus persists indefinitely and does not apply to the limit of Artificer items created in future events.",Artificer,3, You may expend a Tiny gem and a Fusion Point to increase the reduction to 2 minutes (minimum 1 minute) for 4 hours.  You may expend a Small Gem and a Fusion to reduce it by 2 minutes (minimum 1 minute) AND grant your Homunculus the use of [Cooperative Action] for purposes of encrypting or decrypting Schematics for 4 hours.  ,,"A plush doll, stuffed animal, figurine, 3d printed creature, or something else along those lines—tailored to look like a clockwork or created creature.  This should be plainly visible in any scene in which it is used and LARP-safe. Limitations","A plush doll, stuffed animal, figurine, 3d printed creature, or something else along those lines—tailored to look like a clockwork or created creature.  This should be plainly visible in any scene in which it is used and LARP-safe. Limitations",Appraise [Constructs] or Appraise [Wondrous Items], ,,,,,
Tailor’s Threads,"[Clothing]. A brilliant clothier can make one feel lighter on their feet.  For one encounter, you may alter a clothing set’s properties.  The wearer’s maximum AP limitation increases by 1 (to a maximum of 4) while wearing this armor.",Artificer,3,You may consume a Large gem and a Fusion Point to extend this effect to 4 hours.,,"This is limited to outfits consisting primarily of cloth, hide, and leather.  This armor counts toward the limit of equipped Artificer Objects a character may attune to at once.  This does not give you any bonus to AP.  It simply allows you to wear heavier armors without penalty (for purposes of spellcasting, sneaking, etc.) for a temporary period.",A fancy outfit,Appraise [Clothing], ,,,,,
Armor Infusion,"[Armor]. In the fires of a forge, you make the most of a piece of armor. For one encounter, you may alter an armor’s properties to make it denser and more protective.  The armor’s AP value to one hit zone increases by 1 (to a maximum of 4) while wearing this armor.",Artificer,3,You may consume a Large gem and a Fusion Point to extend this effect to 4 hours.,,"This is limited to AP1+ armors; it becomes heavier, which may limit certain Path abilities. This armor counts toward the limit of equipped Artificer Objects a character may attune to at once.","Armor, gauntlets, greaves, etc.",Alchemical Concoction 1, ,,,,,
Riastrad’s Magic Traps,"[Wondrous Items, Alchemy]. Your adept fabrication of spell-like effects allows you to create unique approaches to traps, not unlike Riastrad the Fireforged.  You may apply effects to existing traps that mimic the consequences of spells for which you have Object Schematics (see Creating an Artificer Object below).  If triggered, the trap activates this spell-like ability instead of a poison.",Artificer,3,,,"A character who has Trap Use 1 or Area Trap—it need not be you, but you must create and set it together in a 3 minute RP scene.  A Riastrad’s Magic Trap is considered an Artificer Object and requires Fusion Points to bind the spell-like ability to the trap (see Eligible Skills/Spells to Artifice, below).  It is not considered ‘equipped’ like an Artificer Object is.  However, it deducts from the number of mundane Traps a character is able to create per event.  The effect can be dispelled with Break Arcana or similar alchemical abilities that would remove Artificer Effects.   If the trap is sprung or destroyed (per the T3 Rogue Skill, but NOT T4), the effect dissipates.","A typical Trap that allows Rogue workflow from Detect Traps to Disarm Traps, as well as has the reference material’s effects if triggered.",Appraise [Wondrous Items] or Appraise [Alchemy], ,,,,,
Fabricate Harvest Guard,"[Construct]. From a solution of straw, vegetation, and fear, you create an inert simulacrum of the Harvest Guard until the end of the encounter.  You may animate this construct with a Large Gem and 2 Fusion Points and bring it with you to a Land Search as an additional guardian bound to defend the lands you state.  The Harvest Guard construct is immune to Fear effects, poison, and piercing damage. In combat, it takes three hits to collapse (but takes double Fire damage).",Artificer,3,,,"This circlet counts toward the limit of equipped Artificer Objects a character may attune to at once.  You may only have one construct bound to you at a time.  Note that the Harvest Guard is given a directive to defend the lands, not to defend a specific person—it will not willingly leave this hex unless you create another.  Depending on the commands given, losing control of the circlet may make the construct hostile toward the Artificer.","A volunteer wearing a Harvest Guard costume (Artificer provides).  Harvest Guard constructs are eligible to use curved blades, like scythes, of any length.  The Artificer wears a lootable circlet that binds the construct to their command. The Artificer must create an Object Schematic reflective of the Harvest Guard.  This requires having met and studied the Harvest Guard (effectively Appraising them) for multiple events or relied on an expert’s Harvest Guard knowledge to create one.  A 10 minute RP scene.",Craft Homunculus, ,,,,,
Empower Homunculus,"[Wondrous Items, Construct]. You made a discovery by spontaneously working on other Artificer Objects and have integrated them with your Homunculus’ design.  This mechanical ally can now protect you during your work.   While creating Artificer Objects, attuning Objects, and decrypting Schematics in Play Areas, you gain 2 floating hit points if attacked (not able to be stacked with other floating hit points), so long as the homunculus is near.",Artificer,4,"You may expend an Exquisite Gem and 2 Fusion Points to halve the time needed to successfully [Bypass Encryption] or attune a stolen Artificer Object (see Object Transfer – Foes, below) for four hours.  You also gain [Craft Homunculus’] augment benefits.",You can increase a homunculus’ defense by casting Arcane Armor on it or by making the homunculus an Artificer Object with an Arcane Armor Schematic.,"An Artificer may only have one homunculus crafted at a time, and it may only be attuned to them. It consumes one use of Artificer alterations on the event it was empowered-- once ‘empowered,’ the homunculus persists indefinitely and does not require additional Fusion Points.  A homunculus can be destroyed taking two hits.","A plush doll, stuffed animal, figurine, 3d printed creature, or something else along those lines—tailored to look like a clockwork or crafted creature.  This should be plainly visible in any scene in which it is used and LARP-safe.  A Schematic empowering your homunculus, as well as two more Schematics for Artificer Objects you have attuned to in the past.  They needn’t be activated, but you must have personally created and attuned to them.","Craft Homunculus, Appraise [Construct], a 5 minute RP scene detailing the discovery and integration with other Objects in an immersive way.", ,,,,,
Critical Lens,"[Any]. You are well-practiced making specific types of Artificer Objects, so you know when you’re being swindled or things are not as they should be.  For each Artificer Object that you create of a specific Appraise type (e.g., Weaponry, Alchemy, etc.), you may add 1 to the Tier of Forgery you may detect for objects of that type– up to the limit of your Artificer Tier.  For example, as a Tier 4 Artificer, if you have created and activated two different Clothing Artificer Objects and four different Wondrous Items, you may detect Clothing Forgery currently up to Tier 2 and Wondrous Item Forgery up to Tier 4.",Artificer,4,,"Yes, this means it will take time to reach Tier 4 (where the Rogue’s Forgery skill is) if you haven’t built Artificer Objects of those types before– representing burgeoning expertise in Creating.  At Tier 4 or higher for a specific item type, you also gain the ability to detect magic, poison, or curses in those item types, but must declare you are doing so individually and RP the relevant time to appraise it as such per those rules.",,Your Appraisal phys rep.,, ,,,,,
Alchemical Cannon,"[Construct]. Your engineering talents have dipped toward war and siege engines, creating an inert weapon of war.  By expending an Exquisite Gem and 2 Fusion Points-- you may upgrade a battering ram (Warrior’s Sapper’s Toolkit) to become an alchemical cannon which allows the character attuned to hurl large artillery from or within reach of it.  The sheer size and scale of the cannon’s ammunition bypasses shields and instantly crushes characters.  Two cannon shots should destroy a gate structure or level a wall.  A cannon has 12 hit points and takes double damage from bludgeoning weapons and magic.  At the end of the encounter, the cannon again becomes an inert battering ram.",Artificer,4,,,"This cannon counts toward the limit of equipped Artificer Objects a character may attune to at once.  Only one character may be attuned to this cannon and use it at a time—if they are killed, the Artificer may attune a new person with 30 seconds uninterrupted in contact with the person and the cannon.  Once set up, an alchemical cannon should not be moved for safety reasons.  It cannot be a compact and mobile gun.","A large structure emulating a trebuchet, catapult, or stationary cannon.  Both the structure and ammunition should be ruled LARP-safe before being introduced into play.  How a giant hurls boulders is most appropriate (i.e., large plush ‘cannonball’ with immersive pillowcasing, etc).","A character who has the Warrior’s Sapper’s Toolkit—it need not be you, but you must create and set it up together uninterrupted.  A relevant schematic detailing conversion of the battering ram to the Alchemical Cannon.", ,,,,,
Morphic Weapon,"You’re able to modify the trace energy of Weapon Warp into a precision tool for the job.  The wielder of the weapon can ignore their base class weapon restrictions and one specific Skill’s weapon requirements (e.g., you can use the Rogue’s Waylay with a polearm instead of a small club) until the end of the encounter.  You may determine whether this weapon is considered slashing, piercing, or bludgeoning and indicate when striking.",Artificer,4,You may expend an Exquisite Gem and 2 Fusion Points to extend this effect to one day.,,,,Weapon Warp, ,,,,,
Alchemical Concotion 2,"[Alchemy]. Choose one specific spell at or under Tier 5 that is eligible to be created as a potion (not scroll), per the Wizard or Healer’s scrolls/potions rules.  You may create one potion of that spell per event, but flavored as an infusion or chemical.  Instead of mana, creating this potion costs two Fusion points.  Concoctions are volatile and expire at the event of an event.",Artificer,4,,"You may take skill this multiple times.  In doing so, you add to the list of choices of Tier 5 or lower spells that you can make a concoction of (but not add to the number of concoctions you can make.)",,,Alchemical Concoction 1,1,,,Per Event,,
